timestamp_utc,dataset,dataset_purpose,prompt_index,gamma,max_new_tokens,generated_tokens,rounds,accepted_draft_tokens,verified_draft_tokens,proposed_draft_tokens,acceptance_rate,mean_accepted_per_round,mean_verified_per_round,mean_proposed_per_round,temperature,top_p,seed
2026-07-07T07:41:22,gsm8k,math reasoning,493,4,128,129,37,92,114,148,0.8070175438596491,2.4864864864864864,3.081081081081081,4.0,1.0,1.0,20260707
2026-07-07T07:41:27,gsm8k,math reasoning,1293,4,128,128,31,97,106,124,0.9150943396226415,3.129032258064516,3.4193548387096775,4.0,1.0,1.0,20260707
2026-07-07T07:41:31,gsm8k,math reasoning,500,4,128,132,30,102,108,120,0.9444444444444444,3.4,3.6,4.0,1.0,1.0,20260707
2026-07-07T07:41:37,gsm8k,math reasoning,200,4,128,132,33,99,110,132,0.9,3.0,3.3333333333333335,4.0,1.0,1.0,20260707
2026-07-07T07:41:41,gsm8k,math reasoning,758,4,128,131,28,103,106,112,0.9716981132075472,3.6785714285714284,3.7857142857142856,4.0,1.0,1.0,20260707
2026-07-07T07:41:46,gsm8k,math reasoning,230,4,128,132,31,101,110,124,0.9181818181818182,3.2580645161290325,3.5483870967741935,4.0,1.0,1.0,20260707
2026-07-07T07:41:52,gsm8k,math reasoning,530,4,128,131,37,94,112,148,0.8392857142857143,2.5405405405405403,3.027027027027027,4.0,1.0,1.0,20260707
2026-07-07T07:41:57,gsm8k,math reasoning,1033,4,128,129,35,94,113,140,0.831858407079646,2.6857142857142855,3.2285714285714286,4.0,1.0,1.0,20260707
2026-07-07T07:42:03,gsm8k,math reasoning,464,4,128,129,36,93,112,144,0.8303571428571429,2.5833333333333335,3.111111111111111,4.0,1.0,1.0,20260707
2026-07-07T07:42:07,mbpp,code generation,219,4,128,132,30,102,108,120,0.9444444444444444,3.4,3.6,4.0,1.0,1.0,20260707
2026-07-07T07:42:13,mbpp,code generation,271,4,128,128,33,95,110,132,0.8636363636363636,2.878787878787879,3.3333333333333335,4.0,1.0,1.0,20260707
2026-07-07T07:42:18,mbpp,code generation,145,4,128,130,32,98,111,128,0.8828828828828829,3.0625,3.46875,4.0,1.0,1.0,20260707
2026-07-07T07:42:23,mbpp,code generation,27,4,128,128,34,94,109,136,0.8623853211009175,2.764705882352941,3.2058823529411766,4.0,1.0,1.0,20260707
2026-07-07T07:42:29,mbpp,code generation,247,4,128,129,39,90,113,156,0.7964601769911505,2.3076923076923075,2.8974358974358974,4.0,1.0,1.0,20260707
2026-07-07T07:42:35,mbpp,code generation,432,4,128,131,37,94,113,148,0.831858407079646,2.5405405405405403,3.054054054054054,4.0,1.0,1.0,20260707
2026-07-07T07:42:40,mbpp,code generation,279,4,128,130,32,98,112,128,0.875,3.0625,3.5,4.0,1.0,1.0,20260707
2026-07-07T07:42:45,mbpp,code generation,327,4,128,132,36,96,113,144,0.8495575221238938,2.6666666666666665,3.138888888888889,4.0,1.0,1.0,20260707
2026-07-07T07:42:52,mbpp,code generation,452,4,128,129,43,86,116,172,0.7413793103448276,2.0,2.697674418604651,4.0,1.0,1.0,20260707
2026-07-07T07:42:58,mbpp,code generation,270,4,128,131,34,97,110,136,0.8818181818181818,2.8529411764705883,3.235294117647059,4.0,1.0,1.0,20260707
2026-07-07T07:43:02,mbpp,code generation,358,4,128,129,31,98,108,124,0.9074074074074074,3.161290322580645,3.4838709677419355,4.0,1.0,1.0,20260707
2026-07-07T07:43:07,mbpp,code generation,318,4,128,128,27,101,104,108,0.9711538461538461,3.740740740740741,3.8518518518518516,4.0,1.0,1.0,20260707
2026-07-07T07:43:12,mbpp,code generation,117,4,128,128,31,97,106,124,0.9150943396226415,3.129032258064516,3.4193548387096775,4.0,1.0,1.0,20260707
2026-07-07T07:43:17,mbpp,code generation,320,4,128,131,34,97,110,136,0.8818181818181818,2.8529411764705883,3.235294117647059,4.0,1.0,1.0,20260707
2026-07-07T07:43:22,mbpp,code generation,128,4,128,132,32,100,108,128,0.9259259259259259,3.125,3.375,4.0,1.0,1.0,20260707
2026-07-07T07:43:27,mbpp,code generation,221,4,128,128,31,97,109,124,0.8899082568807339,3.129032258064516,3.5161290322580645,4.0,1.0,1.0,20260707
2026-07-07T07:43:31,mbpp,code generation,3,4,128,128,30,98,104,120,0.9423076923076923,3.2666666666666666,3.466666666666667,4.0,1.0,1.0,20260707
2026-07-07T07:43:37,mbpp,code generation,416,4,128,132,36,96,111,144,0.8648648648648649,2.6666666666666665,3.0833333333333335,4.0,1.0,1.0,20260707
2026-07-07T07:43:43,mbpp,code generation,252,4,128,130,35,95,112,140,0.8482142857142857,2.7142857142857144,3.2,4.0,1.0,1.0,20260707
2026-07-07T07:43:48,mbpp,code generation,232,4,128,129,33,96,108,132,0.8888888888888888,2.909090909090909,3.272727272727273,4.0,1.0,1.0,20260707
2026-07-07T07:43:53,mbpp,code generation,376,4,128,130,34,96,110,136,0.8727272727272727,2.823529411764706,3.235294117647059,4.0,1.0,1.0,20260707
2026-07-07T07:43:58,mbpp,code generation,458,4,128,132,34,98,112,136,0.875,2.8823529411764706,3.2941176470588234,4.0,1.0,1.0,20260707
2026-07-07T07:44:05,mbpp,code generation,359,4,128,130,39,91,113,156,0.8053097345132744,2.3333333333333335,2.8974358974358974,4.0,1.0,1.0,20260707
2026-07-07T07:44:10,mbpp,code generation,68,4,128,131,32,99,108,128,0.9166666666666666,3.09375,3.375,4.0,1.0,1.0,20260707
2026-07-07T07:44:16,mbpp,code generation,391,4,128,131,40,91,113,160,0.8053097345132744,2.275,2.825,4.0,1.0,1.0,20260707
2026-07-07T07:44:20,mbpp,code generation,282,4,128,129,27,102,104,108,0.9807692307692307,3.7777777777777777,3.8518518518518516,4.0,1.0,1.0,20260707
2026-07-07T07:44:25,mbpp,code generation,170,4,128,131,31,100,108,124,0.9259259259259259,3.225806451612903,3.4838709677419355,4.0,1.0,1.0,20260707
2026-07-07T07:44:31,mbpp,code generation,195,4,128,128,39,89,113,156,0.7876106194690266,2.282051282051282,2.8974358974358974,4.0,1.0,1.0,20260707
2026-07-07T07:44:37,mbpp,code generation,328,4,128,131,37,94,113,148,0.831858407079646,2.5405405405405403,3.054054054054054,4.0,1.0,1.0,20260707
2026-07-07T07:44:43,mbpp,code generation,280,4,128,128,37,91,108,148,0.8425925925925926,2.4594594594594597,2.918918918918919,4.0,1.0,1.0,20260707
2026-07-07T07:44:48,mbpp,code generation,80,4,128,131,35,96,110,140,0.8727272727272727,2.742857142857143,3.142857142857143,4.0,1.0,1.0,20260707
