context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,greedy_accept_top1_rate,greedy_accept_top2_rate,greedy_top2_gain_mean,seq_accept_top1_mean,seq_accept_top2_mean,seq_top2_gain_mean,seq_minus_greedy_top2,target_mass_on_draft_top2_mean,draft_top2_mass_mean,target_entropy_mean,seq_relative_gain_over_greedy_top2
128,chat,0,500,0.16332022225367837,0.0005204987828619778,0.47237056493759155,0.976,0.984,0.008,0.9771084440471248,0.9867814793949947,0.009673035343643279,0.0027814793949947347,0.9844971037354553,0.9877883782386779,0.027853544968280786,0.0028267067022304214
128,chat,1,500,0.9089045418500901,0.47237056493759155,1.3692091703414917,0.802,0.9,0.098,0.8142573022822708,0.9122505698405933,0.09799326802267984,0.01225056984059325,0.8914694654359808,0.9031702123880386,0.18166610982819964,0.013611744267325834
128,chat,2,500,1.8094702920913697,1.373781681060791,2.1521615982055664,0.67,0.784,0.114,0.6939606473689223,0.83020815825906,0.13624751035162083,0.046208158259059995,0.7561724879872147,0.7467577750682831,0.41125251373586047,0.05893897737124999
128,chat,3,500,2.5163487763404846,2.1521615982055664,2.8550162315368652,0.566,0.712,0.146,0.6391497095139005,0.8023491941095017,0.16319948387445474,0.09034919410950171,0.6695585630537098,0.5961851185560226,0.535768562127244,0.12689493554705297
128,chat,4,500,3.129155783653259,2.856220245361328,3.3753392696380615,0.45,0.594,0.144,0.554319967825373,0.7126638080673271,0.15834384080606345,0.11866380806732713,0.5598188753620345,0.5017822978496551,0.665707770353336,0.1997707206520659
128,chat,5,500,3.6361742954254153,3.3753392696380615,3.919631004333496,0.406,0.54,0.134,0.504760673427516,0.665319985665591,0.16055931253756348,0.125319985665591,0.4828821961755705,0.41694258904457093,0.7567927238897683,0.2320740475288722
128,chat,6,500,4.188309306144714,3.919631004333496,4.4433465003967285,0.322,0.484,0.162,0.43481469652006377,0.6408639890067496,0.20604929187977258,0.15686398900674958,0.4432741720967483,0.33150217175483704,0.7703605851287116,0.3240991508403917
128,chat,7,500,4.722111494064331,4.4433465003967285,5.017517566680908,0.282,0.368,0.086,0.3697901480583997,0.4860754781112732,0.11628533013123131,0.11807547811127322,0.3150360965342875,0.26754527795314786,0.9805174297186185,0.32085727747628595
128,chat,8,500,5.3465664052963255,5.024013519287109,5.648645877838135,0.134,0.218,0.084,0.2438758625946655,0.3853540298884678,0.14147816738908078,0.1673540298884678,0.2000559703729429,0.1856866994947195,1.0592798885594092,0.767679036185632
128,chat,9,500,6.229998510360717,5.648645877838135,7.93513822555542,0.09,0.132,0.042,0.1810525276596857,0.2774475810715873,0.09639505344125715,0.14544758107158728,0.11716927937390917,0.11129487771913409,1.1273805929054896,1.1018756141786914
128,code,0,500,0.5014906026134267,0.006347233895212412,1.0193824768066406,0.86,0.884,0.024,0.8543692340845331,0.8873941981697481,0.03302496431060691,0.003394198169748064,0.8744700022111667,0.9534949146509171,0.15191740141099594,0.003839590689760253
128,code,1,500,1.5696749227046967,1.0196768045425415,2.094350814819336,0.63,0.726,0.096,0.6481771779568488,0.7598261154578207,0.11164893766474177,0.03382611545782077,0.7065798365739974,0.8128292974233627,0.2913116934267654,0.04659244553418839
128,code,2,500,2.5403929338455202,2.09544038772583,2.9367573261260986,0.44,0.592,0.152,0.4891211727286978,0.6710316506291607,0.18191047737426533,0.07903165062916073,0.5785432697356676,0.6367080843448639,0.4674015619813331,0.1334994098465553
128,code,3,500,3.2613184108734132,2.9375076293945312,3.5960893630981445,0.39,0.55,0.16,0.438264301440692,0.635759921663528,0.1974956198709987,0.08575992166352797,0.5319286680818626,0.5142760473191739,0.5099413594533214,0.15592713029732358
128,code,4,500,3.9440422592163085,3.59732723236084,4.269397735595703,0.332,0.45,0.118,0.3973189871490101,0.5494697170745472,0.15215072988386538,0.09946971707454716,0.4340771826863462,0.4256536858379841,0.6330686953947454,0.2210438157212159
128,code,5,500,4.574154713630676,4.270468711853027,4.869420528411865,0.292,0.38,0.088,0.35416883926782616,0.47552200995621996,0.12135317080091192,0.09552200995621996,0.3489667881961026,0.33520292037725447,0.718782367621621,0.2513737104111051
128,code,6,500,5.165374494552612,4.871502876281738,5.446061134338379,0.198,0.278,0.08,0.2549736260868337,0.39440777562808915,0.1394341498011293,0.11640777562808913,0.26904542502518136,0.25306027829647065,0.7900916183076224,0.4187330058564357
128,code,7,500,5.713899728775025,5.44649076461792,5.968830585479736,0.168,0.248,0.08,0.23080746430174598,0.36939724938678853,0.13858978444685738,0.12139724938678853,0.2282913991573522,0.1903911562860012,0.9179085256941899,0.48950503784995375
128,code,8,500,6.2368881816864015,5.970026969909668,6.502769947052002,0.134,0.172,0.038,0.21075129758797803,0.2921302049643694,0.08137890745793265,0.12013020496436944,0.15742418477373965,0.13769812924414873,0.9413368397721847,0.6984314242114502
128,code,9,500,6.855272486686706,6.50295352935791,7.784910202026367,0.092,0.118,0.026,0.17006588708379697,0.24381278915397261,0.07374690183062485,0.12581278915397262,0.11324439451431503,0.07779176830127835,1.0686196742402292,1.0662100775760393
128,json_config,0,500,0.8439789565168321,0.015851685777306557,0.972272515296936,0.584,0.586,0.002,0.5844229907358464,0.5867926082955903,0.0023696175631387176,0.000792608295590358,0.5700160213536574,0.9177410297393799,0.09575429563563648,0.0013525738832599965
128,json_config,1,500,1.1354798206090928,0.9726422429084778,1.354191541671753,0.474,0.49,0.016,0.47501501398574353,0.49013788349272436,0.015122869791029786,0.00013788349272436662,0.4864660397989791,0.8798473206758499,0.02326903068358024,0.0002813948831109523
128,json_config,2,500,1.4541368780136108,1.3544403314590454,1.5359877347946167,0.956,0.97,0.014,0.9549119836364892,0.9689249975800542,0.014013013893278213,-0.0010750024199457364,0.9682452316671109,0.855453582406044,0.0050335844523760895,-0.0011082499174698314
128,json_config,3,500,1.610738093852997,1.5364136695861816,1.6982437372207642,0.97,0.976,0.006,0.967750975050118,0.9737733761635609,0.006022401093279769,-0.0022266238364391233,0.9718038113659364,0.8327774838209152,0.01107907940559835,-0.0022813768815974625
128,json_config,4,500,1.8046940104961395,1.6983369588851929,1.9464253187179565,0.958,0.966,0.008,0.9560227505336906,0.9652035742186281,0.009180823782329412,-0.0007964257813718456,0.9618196158117015,0.7860497716665268,0.014933215711742833,-0.0008244573306126767
128,json_config,5,500,3.074830189704895,1.9477436542510986,3.9428000450134277,0.406,0.446,0.04,0.42483280958592784,0.4693389097967346,0.044506100412884504,0.023338909796734586,0.42998434889683684,0.5455075078457594,0.21899632723891047,0.05232939416308203
128,json_config,6,500,4.490469006538391,3.9428610801696777,4.974346160888672,0.052,0.086,0.034,0.07022860525769375,0.12813127526159004,0.05790267022136941,0.04213127526159005,0.07042702932578541,0.36218494941294194,0.3658280459967154,0.4898985495533727
128,json_config,7,500,5.235025575637818,4.974431991577148,5.631331443786621,0.02,0.032,0.012,0.034285900350991556,0.05432747517374327,0.020041574750165995,0.02232747517374327,0.027893357616213074,0.3316466463506222,0.2501410962893133,0.6977335991794772
128,json_config,8,500,6.361093128204346,5.631839752197266,6.625101566314697,0.02,0.034,0.014,0.06780695720835164,0.09514033129463755,0.02733337429840407,0.06114033129463754,0.029706544113910733,0.13307016928493975,2.7088061980165876,1.7982450380775747
128,json_config,9,500,6.846543856620789,6.625800132751465,7.801673412322998,0.0,0.008,0.008,0.01992483520485239,0.04005244997159916,0.02012761469914345,0.03205244997159916,0.006143362251972279,0.0913866677209735,3.1657556106578557,4.006556246449895
128,math,0,500,0.49923665561946107,0.0018669546116143465,1.0047212839126587,0.864,0.908,0.044,0.8651834942850585,0.9160675484791798,0.05088405421703089,0.008067548479179787,0.9003674808592542,0.9500680899620056,0.10872872754293962,0.008884965285440293
128,math,1,500,1.4539753789901733,1.0079014301300049,1.8236843347549438,0.686,0.8,0.114,0.7058573557575893,0.8250702192347262,0.11921286379843,0.025070219234726188,0.7839059407642204,0.8103010137081146,0.23990407841052183,0.031337774043407735
128,math,2,500,2.105556654691696,1.8251218795776367,2.405703067779541,0.478,0.648,0.17,0.5286764291328808,0.7325786026779856,0.20390217299624985,0.08457860267798556,0.634182140849575,0.6524447514414787,0.3918352166730747,0.1305225349968913
128,math,3,500,2.7161143584251404,2.4092743396759033,3.0241384506225586,0.47,0.624,0.154,0.5252951222386996,0.6786532530097423,0.1533581306689596,0.05465325300974233,0.5935993425539436,0.5837908847928047,0.42860711329337575,0.08758534136176656
128,math,4,500,3.316681384563446,3.0243544578552246,3.6046981811523438,0.366,0.52,0.154,0.4261749915281153,0.6125451682344092,0.18637017652098428,0.09254516823440917,0.48830753926584763,0.48021678683161734,0.5676025831807272,0.1779714773738638
128,math,5,500,3.8719794635772704,3.604800224304199,4.1526031494140625,0.366,0.484,0.118,0.4364822364990118,0.5871047254105427,0.15062248908075263,0.10310472541054272,0.4614399031880253,0.39808266070485115,0.5844189957915414,0.2130262921705428
128,math,6,500,4.426281084060669,4.152777671813965,4.704880714416504,0.254,0.366,0.112,0.34530017221873827,0.5111301429794451,0.16582997027813567,0.14513014297944515,0.3552407124620464,0.31925409150123596,0.6579228893021627,0.3965304452990305
128,math,7,500,5.0252438774108885,4.71042537689209,5.376692771911621,0.192,0.292,0.1,0.2878748178398315,0.4220044343271415,0.13412961678001187,0.13000443432714154,0.2784363897251944,0.24652182093262673,0.7677916990407466,0.44522066550390943
128,math,8,500,5.7949543380737305,5.379094123840332,6.2274980545043945,0.144,0.222,0.078,0.22057539352496372,0.3474842984249121,0.12690890480028186,0.12548429842491207,0.22275409534900947,0.17547871835529805,0.7730656347062295,0.5652445874996039
128,math,9,500,6.764416522026062,6.227867126464844,8.234498977661133,0.1,0.15,0.05,0.13392739078038216,0.20452069499604553,0.07059330426621407,0.05452069499604553,0.13989576309734836,0.10880164700374008,0.5980978593766604,0.3634712999736369
128,natural_language,0,500,0.29088195416051893,0.0017714702989906073,0.7425419092178345,0.968,0.986,0.018,0.960563702894745,0.9867229876701078,0.026159284635709924,0.0007229876701078108,0.9764591826752078,0.9778261578083038,0.09143334036038686,0.0007332532151194836
