timestamp_utc,dataset,dataset_purpose,prompt_index,gamma,max_new_tokens,generated_tokens,rounds,accepted_draft_tokens,verified_draft_tokens,proposed_draft_tokens,acceptance_rate,mean_accepted_per_round,mean_verified_per_round,mean_proposed_per_round,temperature,top_p,seed
2026-07-07T09:14:44,gsm8k,math reasoning,1033,4,128,128,38,90,114,152,0.7894736842105263,2.3684210526315788,3.0,4.0,1.0,1.0,20260707
2026-07-07T09:14:51,gsm8k,math reasoning,464,4,128,132,46,86,118,184,0.7288135593220338,1.8695652173913044,2.5652173913043477,4.0,1.0,1.0,20260707
2026-07-07T09:14:55,mbpp,code generation,219,4,128,131,33,98,110,132,0.8909090909090909,2.9696969696969697,3.3333333333333335,4.0,1.0,1.0,20260707
2026-07-07T09:15:01,mbpp,code generation,271,4,128,130,37,93,112,148,0.8303571428571429,2.5135135135135136,3.027027027027027,4.0,1.0,1.0,20260707
2026-07-07T09:15:06,mbpp,code generation,145,4,128,131,35,96,111,140,0.8648648648648649,2.742857142857143,3.1714285714285713,4.0,1.0,1.0,20260707
2026-07-07T09:15:11,mbpp,code generation,27,4,128,132,39,93,115,156,0.808695652173913,2.3846153846153846,2.948717948717949,4.0,1.0,1.0,20260707
2026-07-07T09:15:17,mbpp,code generation,247,4,128,132,38,94,118,152,0.7966101694915254,2.473684210526316,3.1052631578947367,4.0,1.0,1.0,20260707
2026-07-07T09:15:21,mbpp,code generation,432,4,128,129,34,95,109,136,0.8715596330275229,2.7941176470588234,3.2058823529411766,4.0,1.0,1.0,20260707
2026-07-07T09:15:26,mbpp,code generation,279,4,128,131,33,98,111,132,0.8828828828828829,2.9696969696969697,3.3636363636363638,4.0,1.0,1.0,20260707
2026-07-07T09:15:33,mbpp,code generation,327,4,128,128,45,83,118,180,0.7033898305084746,1.8444444444444446,2.6222222222222222,4.0,1.0,1.0,20260707
2026-07-07T09:15:38,mbpp,code generation,452,4,128,132,38,94,115,152,0.8173913043478261,2.473684210526316,3.026315789473684,4.0,1.0,1.0,20260707
2026-07-07T09:15:42,mbpp,code generation,270,4,128,130,29,101,107,116,0.9439252336448598,3.4827586206896552,3.689655172413793,4.0,1.0,1.0,20260707
2026-07-07T09:15:47,mbpp,code generation,358,4,128,131,33,98,111,132,0.8828828828828829,2.9696969696969697,3.3636363636363638,4.0,1.0,1.0,20260707
