sample_id,context_len,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
1173,64,0.81823003,0.07887702,0.0007843215,1115,0.8865258,6.2405584e-06,7.039342e-06,0,0.001557606,0.8865258,6.2405584e-06
1174,64,2.2466369,0.2165748,0.14043304,29906,0.028712686,0.0002391449,0.008328893,0,0.019786537,0.43532333,0.00027525407
1175,64,2.66872,0.25726342,2.1181517,29947,0.114683,0.037115764,0.32363787,0,0.6349146,0.12995286,0.091862395
1176,64,2.688661,0.25918576,0.0037326878,9651,0.0076747383,2.636088e-07,3.4347595e-05,0,0.5642238,0.5638617,0.99963796
1177,64,1.6630856,0.16032071,0.21994235,29896,0.3132982,0.018166417,0.05798443,0,0.4316268,0.39296398,0.9613366
1178,64,5.4982486,0.53002876,0.0005583538,29890,0.010403747,4.113713e-11,3.9540686e-09,0,0.000117759046,0.12723966,3.883077e-05
1179,64,6.0783257,0.58594793,4.524609,26601,4.1760206e-05,2.3967028e-05,0.57392025,0,0.12508339,0.1928068,0.006964312
1180,64,4.4155006,0.42565233,0.037105367,385,0.011990204,4.94962e-06,0.0004128053,0,0.14878431,0.18465051,4.6862065e-06
1181,64,2.944501,0.28384858,2.4377117,29899,0.022815658,1.7835403e-07,7.817177e-06,0,0.53787863,0.24529144,0.00031377355
1182,64,4.0582023,0.39120892,3.6102276,304,0.0019779715,0.00033987663,0.17183091,0,0.21249479,0.09346065,0.0057654437
1183,64,5.4333596,0.5237735,2.4864547,501,0.0022595222,4.0442437e-06,0.0017898667,0,0.3018309,0.18664637,0.039145038
1184,64,5.4619794,0.5265324,1.5812876,4806,0.033548553,0.009710488,0.28944582,0,0.16347025,0.12464798,0.013481678
1185,64,4.141344,0.39922374,0.009848545,416,1.0252412e-05,9.1110836e-10,8.886771e-05,0,0.0022875196,0.29684058,9.162517e-05
1186,64,2.6175714,0.25233272,2.2940488,29955,0.12704584,0.097534716,0.7677128,0,0.87920296,0.13107872,0.13124731
1187,64,5.009609,0.48292413,0.0006678393,7516,4.0308103e-05,2.137997e-12,5.3041372e-08,0,7.262378e-05,0.12598471,7.348844e-10
1188,64,2.576096,0.24833453,2.4060597,29900,0.112404615,0.08292348,0.7377231,1,0.7672518,0.15605834,0.09544434
1189,64,1.5348519,0.14795905,2.293633,29941,0.24843323,0.10410044,0.41902786,0,0.4748803,0.48640862,0.10740495
1190,64,7.182152,0.6923563,1.2281709,13555,9.38308e-05,2.9207283e-07,0.0031127606,0,0.039564647,0.025216231,0.00019088472
1191,64,0.54237753,0.052284956,2.098996,29889,0.92501545,0.009631292,0.010412034,0,0.06228334,0.92501545,0.009631292
1192,64,2.645665,0.25504094,2.167488,29945,0.049250096,0.29852718,1.0,1,0.31587672,0.31617197,0.05970919
1193,64,5.2837605,0.5093522,0.00073470466,275,0.046260472,2.7968299e-05,0.00060458307,0,0.00030604083,0.09344873,5.6667858e-11
1194,64,2.8447661,0.2742342,2.2882,29896,0.10127168,0.07858246,0.77595687,1,0.62936014,0.15563202,0.086305946
1195,64,1.4373727,0.1385621,2.4248176,29889,0.74521226,0.0024144195,0.0032399085,0,0.18879516,0.74521226,0.0024144195
1196,64,2.696066,0.25989956,2.3805315,29906,0.052959867,0.06377362,1.0,1,0.69669354,0.19831307,0.10680071
1197,64,2.7725196,0.26726967,2.345574,29900,0.11272671,0.1173157,1.0,1,0.7916976,0.18585493,0.0745704
1198,64,1.3776535,0.13280518,0.91140205,263,0.00032645903,2.580008e-09,7.903007e-06,0,0.07955478,0.78195655,0.0013112144
1199,64,6.0527663,0.583484,0.112973005,6132,0.001922384,2.0029535e-07,0.000104191124,0,0.03830215,0.118008144,0.000109801964
1200,64,2.7702737,0.26705316,2.052207,29929,0.038767688,0.03847561,0.992466,1,0.40377432,0.27982086,0.00089781807
1201,64,2.6871157,0.25903678,2.3157625,29945,0.068978295,0.08472483,1.0,1,0.4290905,0.39385363,0.00012249882
1202,64,2.7387235,0.26401174,0.003461641,29898,0.007276604,1.5553225e-09,2.1374291e-07,0,0.55624044,0.5559074,0.99966717
