prompt_id,method,budget,round,generated_tokens,decode_time_s,total_round_time_s,round_tps,input_len
2,ad,0,31,1,0.014311961829662323,0.014311961829662323,69.87162290549472,39
2,ad,0,32,1,0.014359179884195328,0.014359179884195328,69.64186033358818,40
2,ad,0,33,1,0.014364447444677353,0.014364447444677353,69.61632209323464,41
2,ad,0,34,1,0.014307983219623566,0.014307983219623566,69.89105205466612,42
2,ad,0,35,1,0.01438317820429802,0.01438317820429802,69.52566295126465,43
2,ad,0,36,1,0.014299005270004272,0.014299005270004272,69.93493471169978,44
2,ad,0,37,1,0.014359407126903534,0.014359407126903534,69.6407582264603,45
2,ad,0,38,1,0.014385320246219635,0.014385320246219635,69.51531025267187,46
2,ad,0,39,1,0.01436583697795868,0.01436583697795868,69.60958846562768,47
2,ad,0,40,1,0.014355137944221497,0.014355137944221497,69.66146921650022,48
2,ad,0,41,1,0.014340244233608246,0.014340244233608246,69.73381929272645,49
2,ad,0,42,1,0.014361627399921417,0.014361627399921417,69.62999193291087,50
2,ad,0,43,1,0.014381356537342072,0.014381356537342072,69.53446967283224,51
2,ad,0,44,1,0.014381509274244308,0.014381509274244308,69.53373119126582,52
2,ad,0,45,1,0.014399174600839615,0.014399174600839615,69.44842518554432,53
2,ad,0,46,1,0.014402542263269424,0.014402542263269424,69.43218646546063,54
2,ad,0,47,1,0.014411445707082748,0.014411445707082748,69.38929100697601,55
2,ad,0,48,1,0.014380313456058502,0.014380313456058502,69.53951338096144,56
3,ad,0,1,1,0.015100833028554916,0.015100833028554916,66.22151229068292,10
3,ad,0,2,1,0.014333274215459824,0.014333274215459824,69.76772961766149,11
3,ad,0,3,1,0.014350935816764832,0.014350935816764832,69.68186693663526,12
3,ad,0,4,1,0.014291513711214066,0.014291513711214066,69.97159434660402,13
3,ad,0,5,1,0.01431376114487648,0.01431376114487648,69.86283967424897,14
3,ad,0,6,1,0.016465749591588974,0.016465749591588974,60.73212728261211,15
3,ad,0,7,1,0.01437484472990036,0.01437484472990036,69.56596880103703,16
3,ad,0,8,1,0.014327924698591232,0.014327924698591232,69.79377830610201,17
3,ad,0,9,1,0.014325704425573349,0.014325704425573349,69.8045953129441,18
3,ad,0,10,1,0.014339607208967209,0.014339607208967209,69.73691715730223,19
3,ad,0,11,1,0.014317125082015991,0.014317125082015991,69.84642477253473,20
3,ad,0,12,1,0.014335215091705322,0.014335215091705322,69.75828361156732,21
3,ad,0,13,1,0.014343496412038803,0.014343496412038803,69.71800816714945,22
3,ad,0,14,1,0.014348186552524567,0.014348186552524567,69.69521871905476,23
3,ad,0,15,1,0.014340817928314209,0.014340817928314209,69.73102963852718,24
3,ad,0,16,1,0.014342233538627625,0.014342233538627625,69.72414703098522,25
3,ad,0,17,1,0.01432972401380539,0.01432972401380539,69.78501463367967,26
3,ad,0,18,1,0.014359049499034882,0.014359049499034882,69.64249270588651,27
3,ad,0,19,1,0.014318998903036118,0.014318998903036118,69.83728448976736,28
3,ad,0,20,1,0.014361083507537842,0.014361083507537842,69.63262900568193,29
3,ad,0,21,1,0.014356758445501328,0.014356758445501328,69.6536062646752,30
3,ad,0,22,1,0.01436208188533783,0.01436208188533783,69.62778850473583,31
3,ad,0,23,1,0.0143507719039917,0.0143507719039917,69.68266283445337,32
3,ad,0,24,1,0.014363627880811691,0.014363627880811691,69.6202942806598,33
3,ad,0,25,1,0.01436876505613327,0.01436876505613327,69.5954033692793,34
3,ad,0,26,1,0.0143846794962883,0.0143846794962883,69.5184067366973,35
3,ad,0,27,1,0.014345861971378326,0.014345861971378326,69.7065120238238,36
3,ad,0,28,1,0.01437268778681755,0.01437268778681755,69.57640872970103,37
3,ad,0,29,1,0.014331888407468796,0.014331888407468796,69.77447574032664,38
3,ad,0,30,1,0.014451134949922562,0.014451134949922562,69.19871715718484,39
3,ad,0,31,1,0.014376811683177948,0.014376811683177948,69.55645118243305,40
3,ad,0,32,1,0.014387421309947968,0.014387421309947968,69.50515860048979,41
3,ad,0,33,1,0.01438308134675026,0.01438308134675026,69.5261311461568,42
3,ad,0,34,1,0.014395948499441147,0.014395948499441147,69.46398842971827,43
3,ad,0,35,1,0.014405224472284317,0.014405224472284317,69.41925840336623,44
3,ad,0,36,1,0.014367517083883286,0.014367517083883286,69.60144847308005,45
3,ad,0,37,1,0.014386408030986786,0.014386408030986786,69.51005406256425,46
3,ad,0,38,1,0.014358416199684143,0.014358416199684143,69.64556439184413,47
3,ad,0,39,1,0.014364529401063919,0.014364529401063919,69.61592489942164,48
3,ad,0,40,1,0.014375992119312286,0.014375992119312286,69.56041654033946,49
3,ad,0,41,1,0.014382138848304749,0.014382138848304749,69.53068737184887,50
3,ad,0,42,1,0.01440228521823883,0.01440228521823883,69.43342565759048,51
3,ad,0,43,1,0.014413390308618546,0.014413390308618546,69.37992925939471,52
3,ad,0,44,1,0.017588112503290176,0.017588112503290176,56.85658423056663,53
3,ad,0,45,1,0.01649167388677597,0.01649167388677597,60.63665864760162,54
3,ad,0,46,1,0.014438498765230179,0.014438498765230179,69.25927800805252,55
3,ad,0,47,1,0.014411147683858871,0.014411147683858871,69.39072598083528,56
