t,policy,budget,primary,alloc,N_acc,time_ms,throughput,models_used,uses_new,uses_subset,contained_waste,no_delay_ok
153,primary_only,6,Balanced,{'Balanced': 6},5.325381702413885,79.16910630433473,0.06726590650073191,1,0,0,0,1
153,random_residual,6,Diverse,{'Diverse': 6},5.1009737570777505,76.33167309251311,0.06682643718414803,1,1,0,0,1
154,proposed,16,Balanced,"{'Balanced': 10, 'Diverse': 6}",8.877392382087029,91.02765043210181,0.09752412964573595,2,1,0,0,1
154,best_all,16,Balanced,{'Balanced': 16},7.255790469154986,108.32424069136289,0.06698214935868475,1,0,0,0,1
154,primary_only,16,Balanced,{'Balanced': 10},6.6105624300300505,91.02765043210181,0.07262147708581052,1,0,0,0,1
154,random_residual,16,Balanced,"{'Balanced': 8, 'Fast': 8}",7.04758562945188,85.26212034568144,0.08265787433949082,2,0,0,0,1
155,proposed,32,Balanced,"{'Balanced': 10, 'Diverse': 6, 'Accurate': 7, 'Fast': 9}",11.52842445481274,92.20716986406683,0.1250274189285726,4,1,0,0,1
155,best_all,32,Accurate,{'Accurate': 32},8.908745386980412,183.95680474562897,0.04842846340639157,1,0,0,0,1
155,primary_only,32,Balanced,{'Balanced': 10},5.926688123527091,92.20716986406683,0.0642757838925574,1,0,0,0,1
155,random_residual,32,Balanced,"{'Balanced': 10, 'Accurate': 7, 'Subset': 8, 'Fast': 7}",9.02340524152539,92.20716986406683,0.0978601257887844,4,0,1,1,1
156,proposed,24,Balanced,"{'Balanced': 10, 'Diverse': 6, 'Accurate': 6, 'Fast': 2}",10.744563741213765,89.2550529856324,0.12038045333907699,4,1,0,0,1
156,best_all,24,Balanced,{'Balanced': 24},7.394653694108102,127.13212716551777,0.05816510632659157,1,0,0,0,1
156,primary_only,24,Balanced,{'Balanced': 12},6.58480633919429,94.66606358275888,0.06955825657034663,1,0,0,0,1
156,random_residual,24,Balanced,"{'Balanced': 10, 'Fast': 8, 'Subset': 6}",7.676469561847101,89.2550529856324,0.08600599411534494,3,0,1,0,1
157,proposed,32,Fast,"{'Fast': 10, 'Diverse': 6, 'Accurate': 3, 'Balanced': 5}",10.408447641781066,80.80355396120146,0.12881175556682536,4,1,0,0,1
157,best_all,32,Fast,{'Fast': 32},6.2752438332978,122.17137267584467,0.05136427377261123,1,0,0,0,1
157,primary_only,32,Fast,{'Fast': 10},5.384597112280997,80.80355396120146,0.06663812231410587,1,0,0,0,1
157,random_residual,32,Fast,"{'Fast': 10, 'Subset': 7, 'Diverse': 6, 'Accurate': 3, 'Balanced': 5}",10.941074698807684,80.80355396120146,0.13540338465881263,5,1,1,0,1
158,proposed,40,Balanced,"{'Balanced': 10, 'Diverse': 6, 'Accurate': 7, 'Fast': 8}",10.997802705226551,94.35209717468265,0.1165612957692431,4,1,0,0,1
158,best_all,40,Balanced,{'Balanced': 40},7.983236894271777,190.80838869873057,0.041839024734266775,1,0,0,0,1
158,primary_only,40,Balanced,{'Balanced': 10},5.980654752298247,94.35209717468265,0.0633865587664227,1,0,0,0,1
158,random_residual,40,Balanced,"{'Balanced': 8, 'Accurate': 5, 'Fast': 8, 'Subset': 8, 'Diverse': 6}",9.885608674633254,87.92167773974612,0.11243653361455748,5,1,1,1,1
159,proposed,8,Balanced,{'Balanced': 8},5.854010022868538,87.47851135372537,0.0669194060607347,1,0,0,0,1
159,best_all,8,Balanced,{'Balanced': 8},5.978213749910315,87.47851135372537,0.06833922591271584,1,0,0,0,1
159,primary_only,8,Balanced,{'Balanced': 8},6.029954034264217,87.47851135372537,0.06893068870229951,1,0,0,0,1
159,random_residual,8,Balanced,{'Balanced': 8},5.421962809044248,87.47851135372537,0.061980510700738484,1,0,0,0,1
160,proposed,16,Balanced,"{'Balanced': 10, 'Diverse': 6}",8.1024760840751,93.31320487181083,0.08683096990619805,2,1,0,0,1
160,best_all,16,Balanced,{'Balanced': 16},7.794076480108848,111.9811277948973,0.06960169658573491,1,0,0,0,1
160,primary_only,16,Balanced,{'Balanced': 10},6.491424250421383,93.31320487181083,0.06956597685546208,1,0,0,0,1
160,random_residual,16,Balanced,"{'Balanced': 8, 'Fast': 8}",6.894112611764556,87.09056389744865,0.07916027067964043,2,0,0,0,1
