context_len,draft_len,classic_spec_sampling,target_only
128,40,17.99677104949951,17.27939510345459
128,41,18.316540908813476,17.4700927734375
128,42,17.742060661315918,17.338284492492676
128,43,19.46559371948242,17.503507232666017
128,44,18.105846405029297,17.404844665527342
128,45,18.20211524963379,17.491728019714355
128,46,18.843807983398438,18.023199844360352
128,47,18.06644802093506,18.49056968688965
128,48,17.992419242858887,17.797171592712402
128,49,18.12405433654785,17.621929740905763
128,50,18.078950500488283,17.54480609893799
128,51,19.198755264282227,18.180563163757324
128,52,19.709964561462403,21.073661041259765
128,53,19.158089256286623,18.582240104675293
128,54,19.108345985412598,20.317283058166502
128,55,20.034214591979982,19.09203186035156
128,56,21.02193603515625,19.45473918914795
128,57,21.092252922058105,19.49343318939209
128,58,21.443279838562013,19.90841579437256
128,59,20.500396728515625,22.116585540771485
128,60,21.104041290283202,21.5426944732666
128,61,20.297433853149414,19.821167755126954
128,62,19.64729595184326,19.07089614868164
128,63,19.138278198242187,18.721369743347168
128,64,18.858950233459474,18.339030456542968
128,65,18.97704658508301,18.268012619018556
128,66,18.5827938079834,18.131404685974122
128,67,18.701385307312012,18.219001388549806
128,68,19.453855895996092,18.920492744445802
128,69,19.57652816772461,19.09799690246582
128,70,20.107081794738768,19.025913619995116
128,71,19.805968284606934,19.254079818725586
128,72,19.542927742004395,19.47270107269287
128,73,19.55617275238037,19.083744049072266
128,74,19.43731517791748,20.033859062194825
128,75,19.510934257507323,18.9786434173584
128,76,19.42188491821289,18.933807945251466
128,77,19.49256000518799,19.010415840148926
128,78,19.615459060668947,18.953862571716307
128,79,20.199088096618652,18.99448642730713
128,80,19.567743682861327,19.456553649902343
128,81,20.332179069519043,19.765987205505372
128,82,19.72751693725586,19.15597457885742
128,83,19.755910110473632,19.234003257751464
128,84,20.09400329589844,19.203648185729982
128,85,19.769916915893553,19.37376003265381
128,86,19.890377235412597,21.85489616394043
128,87,19.94809284210205,19.424300575256346
128,88,20.215382194519044,19.42713279724121
128,89,19.910486030578614,19.37280979156494
128,90,20.722643089294433,19.328134536743164
128,91,19.922022438049318,20.056361579895018
128,92,21.70368003845215,19.838188552856444
128,93,20.001801681518554,20.093807792663576
128,94,19.90920295715332,19.461539459228515
128,95,20.871049308776854,19.51189136505127
128,96,19.863840103149414,19.39983024597168
128,97,20.526016235351562,19.973930168151856
