sample_id,context_len,source_type,source_name,natural_prefix_start,original_num_tokens,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
75,64,json_config,json_row_207#selected_19,True,757,3.6431468,0.35119775,2.2655797,29955,0.033264652,0.025072187,0.7537186,1,0.68565816,0.19596438,0.33546218
76,64,natural_language,article_1140#selected_15,True,1285,1.559038,0.15029058,1.2348633,29906,0.45290625,0.5213181,1.0,1,0.89496243,0.45290625,0.5213181
77,64,math,gsm8k_train_6346#selected_0,True,160,2.5049782,0.2414788,0.0013867196,7378,0.38800174,3.0697105e-09,7.91159e-09,0,0.085349,0.38800174,3.0697105e-09
78,64,math,gsm8k_test_398#selected_9,True,230,4.2248087,0.40726972,0.4818173,498,0.00096184295,1.5184295e-06,0.0015786667,0,0.2831819,0.25647557,0.929029
79,64,json_config,json_row_837#selected_0,True,482,2.6169815,0.25227585,0.76904356,29906,0.08430772,0.4687635,1.0,1,0.1925816,0.16766593,0.015305671
80,64,json_config,json_row_263#selected_10,True,978,1.1874056,0.11446538,2.828779,29896,0.75589323,0.087468594,0.11571554,0,0.29370427,0.75589323,0.087468594
81,64,json_config,json_row_1003#selected_1,True,572,3.1798215,0.3065334,2.6468575,29888,0.023397002,0.036332004,1.0,1,0.6036885,0.2254803,1.0322121e-06
82,64,json_config,json_row_1012#selected_5,True,564,3.07328,0.29626286,5.4346652e-05,29881,0.0071997214,1.7051612e-10,2.3683711e-08,0,0.021498248,0.17718022,5.930164e-08
83,64,natural_language,article_12#selected_13,True,374,1.979172,0.19079131,1.9921986,1919,0.032010388,0.011925221,0.37254223,0,0.68928045,0.68441224,0.57011783
84,64,math,algebra_train_121#selected_10,True,213,2.8955493,0.27912968,0.32615402,29989,0.041773543,7.80124e-09,1.8675073e-07,0,0.08283633,0.65344816,0.08232272
85,64,chat,path_d32f5aa0-6d1c-48b1-a25f-0d897bdf1683#selected_14,True,722,2.987568,0.28800023,0.48865354,366,0.4870347,0.17276183,0.35472178,0,0.32027727,0.4870347,0.17276183
86,64,math,algebra_test_710#selected_11,True,708,0.468662,0.045178812,0.00045194582,29889,0.0020200508,1.3105019e-07,6.48747e-05,0,0.9490835,0.94905466,0.9999708
87,64,natural_language,article_19#selected_12,True,287,4.4155426,0.42565638,0.8967707,3929,0.00044539792,1.2732046e-06,0.0028585778,0,0.20278332,0.16715929,0.060069393
88,64,code,devoperate/chronos:chronos/helpers.py:last_git_release_tag#selected_11,True,160,3.6892822,0.35564518,0.24164419,6572,9.329011e-05,8.10961e-10,8.692894e-06,0,0.02340379,0.5694982,0.0011008118
