sample_id,context_len,source_type,source_name,natural_prefix_start,original_num_tokens,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
41,128,natural_language,natural_template_58,True,153,3.8398705,0.37016183,2.248759,373,0.0017299383,8.65334e-05,0.05002109,0,0.36431897,0.23104604,0.14134628
42,128,json_config,json_config_template_169,True,152,6.5933847,0.6355994,0.24039651,376,0.026678078,1.2218523e-07,4.579986e-06,0,0.053611293,0.14087947,5.5189105e-07
43,128,math,math_template_48,True,139,0.37511465,0.036160886,0.014906935,29885,0.9042343,0.9981958,1.0,1,0.90598804,0.9042343,0.9981958
44,128,code,code_template_211,True,217,2.9585829,0.28520608,1.1123227,418,0.04657973,7.322387e-06,0.00015720114,0,0.1870303,0.30852118,0.00017671358
45,128,natural_language,natural_template_53,True,149,2.954926,0.28485358,0.10781222,3704,0.0011859951,9.9221886e-08,8.3661296e-05,0,0.30989844,0.29362425,0.9836037
46,128,chat,chat_template_100,True,162,5.470398,0.5273439,2.6651664,4480,0.00055223756,6.9063213e-07,0.001250607,0,0.23455343,0.09582015,0.07130872
47,128,chat,chat_template_164,True,158,3.7297332,0.35954463,1.9295325,366,0.010836033,0.00015323923,0.014141636,0,0.51799023,0.21343786,0.354369
48,128,code,code_template_99,True,178,1.7679366,0.1704283,0.19659184,29889,0.67286974,4.2938535e-07,6.3814036e-07,0,0.021128634,0.67286974,4.2938535e-07
49,128,code,code_template_117,True,195,6.678045,0.64376056,0.002705452,5613,2.682277e-05,1.1693244e-10,4.3594464e-06,0,0.0016049191,0.041466244,3.2349204e-10
50,128,math,math_template_145,True,159,3.781277,0.36451343,4.633095,1724,0.0031969773,0.0008243943,0.2578668,0,0.6577883,0.15955076,0.10650818
51,128,natural_language,natural_template_1,True,152,4.245938,0.40930653,4.4796968,577,0.04594138,0.014357784,0.31252402,0,0.31023648,0.19042172,0.028111178
52,128,code,code_template_133,True,189,5.1972804,0.50101554,1.1080137,353,0.19603677,1.1133678e-06,5.6793824e-06,0,0.036192793,0.19603677,1.1133678e-06
53,128,natural_language,natural_template_0,True,237,5.014914,0.4834355,1.7510793,232,0.053228866,0.010742445,0.20181614,0,0.16026142,0.053228866,0.010742445
54,128,chat,chat_template_4,True,154,5.6321774,0.5429394,3.9101188,11819,0.0010070446,0.0008508366,0.8448847,1,0.35271877,0.08515898,0.020938504
55,128,json_config,json_config_template_66,True,193,2.6929376,0.25959802,0.104921944,29906,0.30358583,0.00012515498,0.0004122557,0,0.040478062,0.30358583,0.00012515498
56,128,natural_language,natural_template_86,True,152,4.224494,0.40723938,3.8635283,11539,5.754701e-05,1.4256622e-06,0.02477387,1,0.18954504,0.19362839,0.015836393
57,128,natural_language,natural_template_106,True,152,4.485545,0.43240458,4.4853163,322,0.13454098,0.04573145,0.33990723,0,0.3401742,0.13454098,0.04573145
58,128,code,code_template_22,True,193,5.459305,0.52627456,0.019650713,313,0.029867861,3.6087267e-09,1.2082307e-07,0,0.19415092,0.1917434,0.9975921
59,128,code,code_template_201,True,217,2.9585829,0.28520608,1.1123227,268,0.022879194,1.3949835e-05,0.00060971704,0,0.1870303,0.30852118,0.00017671358
60,128,math,math_template_202,True,156,5.384733,0.51908594,0.43702954,10324,3.9356044e-05,1.3507301e-09,3.432078e-05,0,0.14151604,0.12306908,0.9133927
61,128,natural_language,natural_template_154,True,154,5.7506332,0.55435854,3.9092422,3918,0.065954916,0.0006058154,0.009185296,0,0.31083935,0.065954916,0.0006058154
62,128,natural_language,natural_template_62,True,149,2.8811915,0.2777456,0.07238154,29892,0.2968982,0.98987144,1.0,1,0.30689603,0.2968982,0.98987144
63,128,json_config,json_config_template_47,True,147,6.9504566,0.67002094,0.51059103,29916,0.001573125,2.2675574e-06,0.001441435,0,0.020793496,0.01510133,3.280491e-05
64,128,code,code_template_161,True,217,2.9585829,0.28520608,1.1123227,4706,0.30852118,0.00017671358,0.0005727762,0,0.1870303,0.30852118,0.00017671358
65,128,code,code_template_90,True,132,4.6672688,0.44992265,0.08823396,334,0.0053696483,4.700293e-09,8.7534465e-07,0,0.009786879,0.38087878,1.4510558e-06
66,128,math,math_template_32,True,141,5.4786267,0.5281372,0.29826924,1550,6.6941043e-06,1.6472396e-07,0.02460732,0,0.20643356,0.1987031,0.9432274
67,128,natural_language,natural_template_102,True,153,3.7465858,0.36116922,2.1264405,1904,0.003421863,0.000210725,0.06158195,0,0.32872275,0.24271888,0.032775253
68,128,math,math_template_44,True,141,5.4446573,0.5248626,0.24295211,1353,0.036531683,0.00031885487,0.008728174,0,0.21270463,0.20535547,0.9579478
69,128,natural_language,natural_template_52,True,150,5.9965734,0.57806706,4.2587214,26760,5.883085e-06,1.8114385e-08,0.003079062,0,0.24100648,0.05182238,0.0021276623
