t,policy,budget,primary,alloc,N_acc,time_ms,throughput,models_used,uses_new,no_delay_ok
98,random_residual,6,Fast,{'Fast': 6},5.315105126685323,75.01710018359961,0.0708519139459795,1,0,1
99,proposed,16,Balanced,"{'Balanced': 12, 'Diverse': 4}",7.987898720607371,97.79270824378939,0.08168194606794382,2,1,1
99,best_all,16,Balanced,{'Balanced': 16},7.320743995637924,109.65694432505252,0.06676042306939796,1,0,1
99,primary_only,16,Balanced,{'Balanced': 12},7.066770630477302,97.79270824378939,0.07226275616440041,1,0,1
99,random_residual,16,Balanced,"{'Balanced': 12, 'Accurate': 4}",8.754595077573276,97.79270824378939,0.0895219616553493,2,0,1
100,proposed,6,Balanced,{'Balanced': 6},5.332540220758741,79.18979801651813,0.06733872739069786,1,0,1
100,best_all,6,Balanced,{'Balanced': 6},5.4373141825344025,79.18979801651813,0.06866180137749862,1,0,1
100,primary_only,6,Balanced,{'Balanced': 6},5.392800486899769,79.18979801651813,0.06809968735840051,1,0,1
100,random_residual,6,Balanced,{'Balanced': 6},4.541845242292708,79.18979801651813,0.05735391876293622,1,0,1
101,proposed,16,Fast,"{'Fast': 10, 'Diverse': 6}",7.757164063227774,82.6020254257589,0.09391009510051013,2,1,1
101,best_all,16,Balanced,{'Balanced': 16},7.129099636625296,114.67607994158479,0.06216727708391157,1,0,1
101,primary_only,16,Fast,{'Fast': 10},4.891118081988173,82.6020254257589,0.05921305266762757,1,0,1
101,random_residual,16,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 2}",7.689475027530138,82.6020254257589,0.09309063534333416,3,0,1
102,proposed,16,Fast,"{'Fast': 10, 'Diverse': 6}",7.386802299672349,83.11870457505519,0.08887051762220566,2,1,1
102,best_all,16,Fast,{'Fast': 16},5.584770002942143,95.78992732008831,0.05830226788125926,1,0,1
102,primary_only,16,Fast,{'Fast': 10},5.6806082435474385,83.11870457505519,0.06834332022604993,1,0,1
102,random_residual,16,Fast,"{'Fast': 10, 'Diverse': 6}",7.87476191052145,83.11870457505519,0.09474115303867175,2,1,1
103,proposed,6,Balanced,{'Balanced': 6},4.8568423282452,76.6091049020453,0.0633977166872698,1,0,1
103,best_all,6,Balanced,{'Balanced': 6},5.483559961559642,76.6091049020453,0.07157843664367422,1,0,1
103,primary_only,6,Balanced,{'Balanced': 6},5.624351830196376,76.6091049020453,0.07341623214874839,1,0,1
103,random_residual,6,Balanced,{'Balanced': 6},5.821868799653192,76.6091049020453,0.0759944762061534,1,0,1
104,proposed,12,Fast,"{'Fast': 10, 'Diverse': 2}",7.000972684800187,81.49972428948408,0.08590179593654802,2,1,1
104,best_all,12,Fast,{'Fast': 12},5.955886357761869,85.39966914738088,0.06974132824195525,1,0,1
104,primary_only,12,Fast,{'Fast': 10},5.5681683234720625,81.49972428948408,0.06832131485125188,1,0,1
104,random_residual,12,Fast,"{'Fast': 10, 'Balanced': 2}",6.1953437010481975,81.49972428948408,0.07601674429035564,2,0,1
105,proposed,12,Balanced,{'Balanced': 12},6.91716283500801,99.46280917490732,0.06954521888522214,1,0,1
105,best_all,12,Balanced,{'Balanced': 12},6.9687131433972365,99.46280917490732,0.07006350616080646,1,0,1
105,primary_only,12,Balanced,{'Balanced': 12},7.094650880305516,99.46280917490732,0.07132968532820576,1,0,1
105,random_residual,12,Balanced,{'Balanced': 12},6.782629187948529,99.46280917490732,0.06819261635795085,1,0,1
106,proposed,40,Fast,"{'Fast': 10, 'Diverse': 6, 'Accurate': 5, 'Balanced': 6}",10.010365672857407,83.16938444736522,0.12036118506074302,4,1,1
106,best_all,40,Accurate,{'Accurate': 40},8.955892562046378,216.1617647017367,0.041431437120268956,1,0,1
106,primary_only,40,Fast,{'Fast': 10},5.339692894754852,83.16938444736522,0.06420262612541208,1,0,1
106,random_residual,40,Fast,"{'Fast': 10, 'Balanced': 6, 'Diverse': 6, 'Accurate': 5}",10.081308658775416,83.16938444736522,0.12121417906075159,4,1,1
107,proposed,32,Balanced,"{'Balanced': 12, 'Diverse': 6, 'Accurate': 7, 'Fast': 7}",11.190015678636806,97.20580807216982,0.11511673942701914,4,1,1
107,best_all,32,Balanced,{'Balanced': 32},7.1540258370070395,155.5488215257862,0.045992157104328024,1,0,1
107,primary_only,32,Balanced,{'Balanced': 12},6.947212157934983,97.20580807216982,0.07146910555773654,1,0,1
107,random_residual,32,Balanced,"{'Balanced': 12, 'Diverse': 6, 'Fast': 10, 'Accurate': 4}",10.717201441842551,97.20580807216982,0.11025268607289017,4,1,1
108,proposed,12,Balanced,{'Balanced': 12},6.80785996802274,97.27363111249046,0.06998669516253489,1,0,1
108,best_all,12,Balanced,{'Balanced': 12},6.675581769408405,97.27363111249046,0.06862683846651658,1,0,1
108,primary_only,12,Balanced,{'Balanced': 12},6.791402034643888,97.27363111249046,0.06981750302700312,1,0,1
108,random_residual,12,Balanced,{'Balanced': 12},6.888545697376303,97.27363111249046,0.07081616691588453,1,0,1
109,proposed,24,Balanced,"{'Balanced': 12, 'Diverse': 6, 'Accurate': 6}",10.314858255688696,96.82318296224375,0.10653293911759729,3,1,1
109,best_all,24,Balanced,{'Balanced': 24},7.934464405241132,131.4463659244875,0.06036275213419954,1,0,1
109,primary_only,24,Balanced,{'Balanced': 12},6.8406400149659525,96.82318296224375,0.07065084833694699,1,0,1
109,random_residual,24,Balanced,"{'Balanced': 12, 'Fast': 10, 'Accurate': 2}",8.42613683483327,96.82318296224375,0.08702602596858489,3,0,1
110,proposed,12,Balanced,{'Balanced': 12},6.152870704622113,99.2682652406917,0.061982252734078695,1,0,1
110,best_all,12,Balanced,{'Balanced': 12},6.8302883927408375,99.2682652406917,0.06880636400948195,1,0,1
110,primary_only,12,Balanced,{'Balanced': 12},6.7632466355042675,99.2682652406917,0.06813100459754887,1,0,1
110,random_residual,12,Balanced,{'Balanced': 12},6.5217691694082776,99.2682652406917,0.06569842994229032,1,0,1
111,proposed,8,Balanced,{'Balanced': 8},6.132439458538456,84.65293321699471,0.07244213786212103,1,0,1
111,best_all,8,Balanced,{'Balanced': 8},6.212671364311225,84.65293321699471,0.07338991253127641,1,0,1
111,primary_only,8,Balanced,{'Balanced': 8},6.475230590519724,84.65293321699471,0.07649150885204971,1,0,1
111,random_residual,8,Balanced,{'Balanced': 8},6.036844119091249,84.65293321699471,0.0713128758765716,1,0,1
112,proposed,12,Fast,"{'Fast': 10, 'Diverse': 2}",6.811309438016703,82.53666920075317,0.08252464636596395,2,1,1
112,best_all,12,Fast,{'Fast': 12},6.289023166570462,86.6440030409038,0.07258463304842315,1,0,1
112,primary_only,12,Fast,{'Fast': 10},6.036383860878833,82.53666920075317,0.07313578218423854,1,0,1
112,random_residual,12,Fast,"{'Fast': 10, 'Diverse': 2}",7.423996101418717,82.53666920075317,0.08994785194640458,2,1,1
113,proposed,8,Balanced,{'Balanced': 8},6.074614956206582,84.62687366244452,0.07178115760764961,1,0,1
113,best_all,8,Balanced,{'Balanced': 8},5.7491270894063,84.62687366244452,0.06793500504742894,1,0,1
113,primary_only,8,Balanced,{'Balanced': 8},6.479775875316111,84.62687366244452,0.07656877295458556,1,0,1
113,random_residual,8,Balanced,{'Balanced': 8},6.555892904090739,84.62687366244452,0.07746821571408344,1,0,1
114,proposed,12,Fast,"{'Fast': 10, 'Diverse': 2}",6.998554328539138,83.53386271954355,0.08378104520362087,2,1,1
114,best_all,12,Balanced,{'Balanced': 12},6.703849462928953,100.96587992578628,0.06639717761937532,1,0,1
114,primary_only,12,Fast,{'Fast': 10},6.254536385551875,83.53386271954355,0.07487426274720282,1,0,1
114,random_residual,12,Fast,"{'Fast': 10, 'Diverse': 2}",7.145231732650165,83.53386271954355,0.08553694872987683,2,1,1
115,proposed,12,Balanced,"{'Balanced': 10, 'Diverse': 2}",7.398304394712091,95.73950117102169,0.07727535974410739,2,1,1
115,best_all,12,Balanced,{'Balanced': 12},6.902569288155918,102.44740140522602,0.06737671423068235,1,0,1
115,primary_only,12,Balanced,{'Balanced': 10},6.530161744591868,95.73950117102169,0.06820760150950535,1,0,1
115,random_residual,12,Balanced,"{'Balanced': 10, 'Fast': 2}",7.809112692153202,95.73950117102169,0.08156625631674855,2,0,1
116,proposed,16,Fast,"{'Fast': 10, 'Diverse': 6}",7.964028376027036,82.8085514492173,0.09617398489226092,2,1,1
116,best_all,16,Fast,{'Fast': 16},6.828577834158638,95.2936823187477,0.07165824289712867,1,0,1
116,primary_only,16,Fast,{'Fast': 10},5.842595771039753,82.8085514492173,0.07055546400449657,1,0,1
116,random_residual,16,Fast,"{'Fast': 10, 'Balanced': 5, 'Accurate': 1}",6.846574162096453,82.8085514492173,0.08267955473529982,3,0,1
117,proposed,32,Fast,"{'Fast': 10, 'Diverse': 6, 'Accurate': 5, 'Balanced': 6}",10.033728534031168,85.10515177081433,0.11789801586925905,4,1,1
117,best_all,32,Accurate,{'Accurate': 32},9.47745273168368,195.81329285425852,0.04840045634050817,1,0,1
117,primary_only,32,Fast,{'Fast': 10},5.7234321412179066,85.10515177081433,0.0672513005632249,1,0,1
117,random_residual,32,Fast,"{'Fast': 10, 'Diverse': 6, 'Balanced': 6, 'Accurate': 5}",10.22741752097469,85.10515177081433,0.12017389439028114,4,1,1
118,proposed,12,Balanced,{'Balanced': 12},6.80803265026105,95.05595991777628,0.07162131292083128,1,0,1
118,best_all,12,Balanced,{'Balanced': 12},6.214320997112245,95.05595991777628,0.0653753957404423,1,0,1
118,primary_only,12,Balanced,{'Balanced': 12},7.257602594763313,95.05595991777628,0.07635084218855044,1,0,1
118,random_residual,12,Balanced,{'Balanced': 12},6.368021698282995,95.05595991777628,0.06699234539098184,1,0,1
119,proposed,8,Balanced,{'Balanced': 8},5.982994410766769,85.93729228194508,0.06962046687644778,1,0,1
119,best_all,8,Balanced,{'Balanced': 8},6.263274070184663,85.93729228194508,0.07288191079649063,1,0,1
119,primary_only,8,Balanced,{'Balanced': 8},6.077240656805518,85.93729228194508,0.07071715311749834,1,0,1
119,random_residual,8,Balanced,{'Balanced': 8},5.829378631812618,85.93729228194508,0.0678329334916378,1,0,1
120,proposed,12,Fast,"{'Fast': 10, 'Diverse': 2}",6.934151625258484,84.03065733188993,0.08251930718417633,2,1,1
120,best_all,12,Fast,{'Fast': 12},5.997712882014328,88.43678879826793,0.06781920695577988,1,0,1
120,primary_only,12,Fast,{'Fast': 10},5.481948578810542,84.03065733188993,0.06523748299574617,1,0,1
120,random_residual,12,Fast,"{'Fast': 10, 'Balanced': 2}",6.381748755083507,84.03065733188993,0.07594548177670403,2,0,1
121,proposed,32,Balanced,"{'Balanced': 12, 'Diverse': 6, 'Accurate': 8, 'Fast': 6}",11.333303847748729,101.25863446685182,0.11192432040409173,4,1,1
121,best_all,32,Balanced,{'Balanced': 32},7.908196827970715,166.3563585782715,0.047537688944122136,1,0,1
121,primary_only,32,Balanced,{'Balanced': 12},7.197018185828387,101.25863446685182,0.07107559986091275,1,0,1
121,random_residual,32,Balanced,"{'Balanced': 12, 'Diverse': 6, 'Accurate': 8, 'Fast': 6}",11.36765621708446,101.25863446685182,0.11226357413308585,4,1,1
122,proposed,32,Fast,"{'Fast': 10, 'Diverse': 6, 'Accurate': 4, 'Balanced': 5}",10.424912738688406,81.09478070327711,0.12855220333886574,4,1,1
122,best_all,32,Fast,{'Fast': 32},6.593245751173176,123.10329825048674,0.05355864420267153,1,0,1
122,primary_only,32,Fast,{'Fast': 10},5.813054972833008,81.09478070327711,0.0716822330909651,1,0,1
122,random_residual,32,Fast,"{'Fast': 10, 'Accurate': 4, 'Diverse': 6, 'Balanced': 5}",9.421495822448975,81.09478070327711,0.11617881867048743,4,1,1
123,proposed,8,Balanced,{'Balanced': 8},6.237993578554657,82.92371447851292,0.07522568927096286,1,0,1
123,best_all,8,Balanced,{'Balanced': 8},5.268243227487883,82.92371447851292,0.06353120166671963,1,0,1
123,primary_only,8,Balanced,{'Balanced': 8},5.8103892954250576,82.92371447851292,0.07006909099484006,1,0,1
123,random_residual,8,Balanced,{'Balanced': 8},5.516048016173035,82.92371447851292,0.06651954812760281,1,0,1
124,proposed,16,Balanced,"{'Balanced': 12, 'Diverse': 4}",8.467676184253621,96.1207251019601,0.08809417714308261,2,1,1
124,best_all,16,Balanced,{'Balanced': 16},7.1887037413468144,107.42763346928014,0.06691670950195963,1,0,1
124,primary_only,16,Balanced,{'Balanced': 12},7.223306696832391,96.1207251019601,0.07514827514222625,1,0,1
124,random_residual,16,Balanced,"{'Balanced': 12, 'Accurate': 4}",7.7834084305840765,96.1207251019601,0.08097534035794905,2,0,1
125,proposed,24,Balanced,"{'Balanced': 12, 'Diverse': 6, 'Accurate': 6}",10.340798887371946,92.74580143586691,0.1114961402810513,3,1,1
125,best_all,24,Balanced,{'Balanced': 24},7.0582155160133695,123.29160287173382,0.057248144655531574,1,0,1
125,primary_only,24,Balanced,{'Balanced': 12},6.543192793756263,92.74580143586691,0.07054974664573724,1,0,1
125,random_residual,24,Balanced,"{'Balanced': 12, 'Diverse': 6, 'Accurate': 6}",10.393056886766974,92.74580143586691,0.11205959435213574,3,1,1
126,proposed,40,Balanced,"{'Balanced': 12, 'Diverse': 6, 'Accurate': 6, 'Fast': 10}",11.172311766463308,90.35310306668227,0.12365166648695988,4,1,1
126,best_all,40,Balanced,{'Balanced': 40},7.562853342429161,156.04367688894087,0.04846625953201412,1,0,1
126,primary_only,40,Balanced,{'Balanced': 12},6.800150172213122,90.35310306668227,0.07526194387805901,1,0,1
126,random_residual,40,Balanced,"{'Balanced': 12, 'Fast': 10, 'Diverse': 6, 'Accurate': 6}",11.337674018824371,90.35310306668227,0.12548184438620727,4,1,1
127,proposed,16,Balanced,"{'Balanced': 12, 'Diverse': 4}",8.544355479354179,98.34348631886817,0.08688277992962366,2,1,1
127,best_all,16,Balanced,{'Balanced': 16},6.629384923725976,110.39131509182424,0.06005350075059445,1,0,1
127,primary_only,16,Balanced,{'Balanced': 12},6.898271584183614,98.34348631886817,0.07014467192892379,1,0,1
127,random_residual,16,Balanced,"{'Balanced': 12, 'Fast': 4}",7.865524582793928,98.34348631886817,0.07998012758354743,2,0,1
128,proposed,12,Balanced,{'Balanced': 12},6.62673622171415,101.71397277293721,0.06515069700902795,1,0,1
128,best_all,12,Balanced,{'Balanced': 12},6.23598393989589,101.71397277293721,0.061309019497418384,1,0,1
128,primary_only,12,Balanced,{'Balanced': 12},6.026086409797129,101.71397277293721,0.05924541383561487,1,0,1
