prompt_id,method,budget,round,selected_nodes,accepted_tokens,draft_time_s,comm_time_s,verify_time_s,total_round_time_s,round_tps,input_len,expansions,generated_candidates
1,greedy,4,10,4,1,0.0073732174932956696,1.28e-08,0.030087482184171677,0.037460712477467344,26.69463376067663,24,4.0,16.0
1,greedy,4,11,4,2,0.0070775896310806274,1.28e-08,0.03016173467040062,0.037239337101481244,53.706648820030885,25,4.0,16.0
1,greedy,4,12,4,1,0.007167834788560867,1.28e-08,0.03015398606657982,0.03732183365514068,26.79396755368853,27,4.0,16.0
1,greedy,4,13,4,2,0.007223647087812424,1.28e-08,0.030211947858333588,0.03743560774614601,53.42507095282565,28,4.0,16.0
1,greedy,4,14,4,2,0.007285773754119873,1.28e-08,0.030347052961587906,0.037632839515707776,53.14507291338484,30,4.0,16.0
1,chain,8,1,8,2,0.013927195221185684,2.56e-08,0.02931634709239006,0.043243567913575746,46.24965275754054,8,8.0,
1,chain,8,2,8,2,0.013582322746515274,2.56e-08,0.029549099504947662,0.04313144785146294,46.3698785834328,10,8.0,
1,chain,8,3,8,1,0.013905994594097137,2.56e-08,0.029473919421434402,0.04337993961553154,23.052129829197938,12,8.0,
1,chain,8,4,8,1,0.013726253062486649,2.56e-08,0.029229786247015,0.04295606490950165,23.279599798230247,13,8.0,
1,chain,8,5,8,1,0.014005575329065323,2.56e-08,0.030312921851873398,0.04431852278093872,22.563928968094967,14,8.0,
1,chain,8,6,8,2,0.01383696123957634,2.56e-08,0.029352035373449326,0.04318902221302567,46.30806389029124,15,8.0,
1,chain,8,7,8,1,0.01444334164261818,2.56e-08,0.03021974489092827,0.04466311213354645,22.389841464918884,17,8.0,
1,chain,8,8,8,1,0.014315612614154816,2.56e-08,0.03030611202120781,0.04462175023536263,22.410595611453683,18,8.0,
1,chain,8,9,8,1,0.014396950602531433,2.56e-08,0.03033415973186493,0.044731135934396364,22.355792651155145,19,8.0,
1,chain,8,10,8,1,0.013691969215869904,2.56e-08,0.030270759016275406,0.04396275383214531,22.746527749788182,20,8.0,
1,chain,8,11,8,1,0.013981122523546219,2.56e-08,0.0303056500852108,0.04428679820875702,22.58009249813561,21,8.0,
1,chain,8,12,8,2,0.013788174837827682,2.56e-08,0.03032664954662323,0.044114849984450914,45.33620766487785,22,8.0,
1,chain,8,13,8,1,0.01371101662516594,2.56e-08,0.030369795858860016,0.04408083808402596,22.68559409178703,24,8.0,
1,chain,8,14,8,1,0.014100737869739532,2.56e-08,0.03039826825261116,0.044499031722350695,22.47239909037675,25,8.0,
1,chain,8,15,8,1,0.01415657252073288,2.56e-08,0.030478965491056442,0.044635563611789324,22.403660200134137,26,8.0,
