context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,target_entropy_mean,greedy_accept_top1_rate,seq_accept_top1_mean,greedy_gain_top1_vs_top0_mean,seq_gain_top1_vs_top0_mean,target_mass_on_draft_top1_mean,draft_top1_mass_mean,greedy_accept_top2_rate,seq_accept_top2_mean,greedy_gain_top2_vs_top1_mean,seq_gain_top2_vs_top1_mean,target_mass_on_draft_top2_mean,draft_top2_mass_mean,greedy_accept_top3_rate,seq_accept_top3_mean,greedy_gain_top3_vs_top2_mean,seq_gain_top3_vs_top2_mean,target_mass_on_draft_top3_mean,draft_top3_mass_mean,greedy_accept_top4_rate,seq_accept_top4_mean,greedy_gain_top4_vs_top3_mean,seq_gain_top4_vs_top3_mean,target_mass_on_draft_top4_mean,draft_top4_mass_mean,greedy_accept_top5_rate,seq_accept_top5_mean,greedy_gain_top5_vs_top4_mean,seq_gain_top5_vs_top4_mean,target_mass_on_draft_top5_mean,draft_top5_mass_mean,seq_minus_greedy_top1,seq_minus_greedy_top2,seq_minus_greedy_top3,seq_minus_greedy_top4,seq_minus_greedy_top5
64,json_config,0,500,1.8136932362914084,0.27832093834877014,2.2064385414123535,1.3438321217115337,0.266,0.2015722017288208,0.266,0.2015722017288208,0.1643435110560409,0.5615806465148926,0.31,0.7145229643583297,0.044,0.512950762629509,0.265240055303205,0.6738212248664349,0.596,0.8844511388540268,0.286,0.16992817449569703,0.5296678091021468,0.7271678530597128,0.666,0.9140841943025589,0.07,0.029633055448532106,0.6000773675674282,0.7705747499242425,0.716,0.9373014712333679,0.05,0.023217276930809022,0.656276453987946,0.8079595407191664,-0.06442779827117923,0.40452296435832974,0.28845113885402685,0.2480841943025589,0.22130147123336796
64,json_config,1,500,2.3843977222442625,2.2078936100006104,2.552855968475342,1.1812466116027822,0.216,0.24815417957305907,0.216,0.24815417957305907,0.16290764936741584,0.369842093244195,0.288,0.6234811228513718,0.072,0.3753269432783127,0.2681465394591352,0.4865908459238708,0.49,0.7635714526176453,0.202,0.1400903297662735,0.463178069607998,0.568797208096832,0.562,0.8144748601913452,0.072,0.05090340757369995,0.5391150085734994,0.6362485228907316,0.648,0.8768255100250244,0.086,0.062350649833679196,0.6166259461805935,0.6954621012490243,0.03215417957305908,0.3354811228513718,0.27357145261764526,0.25247486019134513,0.22882551002502438
64,json_config,2,500,2.6903392214775086,2.5530192852020264,2.808548927307129,1.3601496492447878,0.216,0.2915261756181717,0.216,0.2915261756181717,0.1401539596786868,0.2684156858623028,0.308,0.5553310949802399,0.092,0.2638049193620682,0.23271473366033044,0.3903868096545339,0.382,0.6803248941898346,0.074,0.12499379920959473,0.3174788446237196,0.4838487941771746,0.456,0.7454135152101516,0.074,0.06508862102031708,0.3954226914527594,0.5622213565558195,0.506,0.7928885530233383,0.05,0.04747503781318665,0.466310055241508,0.630568006824702,0.07552617561817168,0.24733109498023992,0.29832489418983454,0.28941351521015163,0.28688855302333827
64,json_config,3,500,2.912774893283844,2.8086156845092773,3.003814935684204,1.29647995573132,0.226,0.3496972624063492,0.226,0.3496972624063492,0.1771364663310327,0.22387890994548798,0.354,0.6145053499937058,0.128,0.2648080875873566,0.3013553048598091,0.34314477137476207,0.426,0.7289921756982803,0.072,0.11448682570457458,0.3766209920229388,0.436891636043787,0.482,0.7912716546058655,0.056,0.062279478907585145,0.4524085828180221,0.5146316380240024,0.538,0.8119424830675125,0.056,0.020670828461647035,0.5010773990214592,0.582557393822819,0.12369726240634918,0.2605053499937058,0.30299217569828035,0.3092716546058655,0.27394248306751245
64,json_config,4,500,3.0773005595207215,3.0038857460021973,3.1524553298950195,1.4334519113168758,0.23,0.35210512864589694,0.23,0.35210512864589694,0.17268827619104443,0.19548609687387944,0.314,0.6073827867507935,0.084,0.25527765810489655,0.26978829882023064,0.30692192567884924,0.38,0.7334593641757965,0.066,0.12607657742500306,0.3419708431252193,0.39598346116393807,0.456,0.8091365439891816,0.076,0.07567717981338501,0.428548357142794,0.4714380828104913,0.506,0.8427047883272171,0.05,0.03356824433803558,0.4881026273530564,0.5387721185199916,0.12210512864589693,0.2933827867507935,0.3534593641757965,0.35313654398918154,0.33670478832721706
64,json_config,5,500,3.2238989534378053,3.1526825428009033,3.2950668334960938,1.3964016525606615,0.198,0.3718975367546081,0.198,0.3718975367546081,0.1785717453385141,0.1755060441941023,0.296,0.6233613853454589,0.098,0.2514638485908508,0.2826519073828029,0.2831214225515723,0.358,0.7375317795276641,0.062,0.1141703941822052,0.3524095817880414,0.36977917459607124,0.424,0.7931157160997391,0.066,0.05558393657207489,0.4148640076367398,0.4430144637301564,0.48,0.824456518650055,0.056,0.031340802550315856,0.47454128186007616,0.5083715690374374,0.17389753675460812,0.32736138534545894,0.37953177952766415,0.3691157160997391,0.344456518650055
64,json_config,6,500,3.358367743015289,3.295147180557251,3.4221930503845215,1.3349404757423409,0.164,0.3437206403017044,0.164,0.3437206403017044,0.16197255190381976,0.16041307413578035,0.254,0.5700721246004105,0.09,0.22635148429870605,0.2507425692184406,0.2605451756566763,0.342,0.7126776028871536,0.088,0.14260547828674316,0.3421096679806772,0.3419193352684379,0.404,0.7740029453039169,0.062,0.0613253424167633,0.4103264220888111,0.4111133896633983,0.464,0.8010910166501999,0.06,0.02708807134628296,0.46320043559823426,0.47301371582224966,0.1797206403017044,0.31607212460041045,0.3706776028871536,0.37000294530391686,0.33709101665019986
64,json_config,7,500,3.4867415261268615,3.422349452972412,3.5534229278564453,1.1658324309015857,0.198,0.3679717644453049,0.198,0.3679717644453049,0.18546190180691005,0.14458055940270423,0.308,0.5978992849588394,0.11,0.22992752051353454,0.2975743219324111,0.2395143997371197,0.386,0.7000374020338058,0.078,0.10213811707496644,0.3670425299307227,0.31738269064575436,0.442,0.7501475524902343,0.056,0.050110150456428526,0.42696587399058294,0.3849247065037489,0.5,0.7818215887546539,0.058,0.03167403626441956,0.48616714738104677,0.44536582722514867,0.16997176444530487,0.2898992849588394,0.3140374020338058,0.30814755249023434,0.2818215887546539
64,json_config,8,500,3.6325036220550535,3.5534982681274414,3.7270936965942383,1.0752453514200562,0.16,0.31353172087669373,0.16,0.31353172087669373,0.1650176931816346,0.13351154899597167,0.234,0.5238976118564606,0.074,0.21036589097976685,0.2502486841161925,0.2218685383424163,0.298,0.6339662580490112,0.064,0.11006864619255066,0.32514938866579185,0.2951042937040329,0.36,0.6930682941675186,0.062,0.05910203611850739,0.3920788601848231,0.3597234140560031,0.444,0.7545112376213073,0.084,0.061442943453788756,0.4758108111901569,0.41764058645814656,0.15353172087669373,0.28989761185646057,0.3359662580490112,0.3330682941675186,0.31051123762130733
64,json_config,9,500,3.9672155294418334,3.7271342277526855,5.416029930114746,0.9029342754744066,0.11,0.24253900325298308,0.11,0.24253900325298308,0.10762622889122522,0.11872324711829424,0.206,0.4278064719438553,0.096,0.18526746869087218,0.2070784449352102,0.2028246050775051,0.31,0.5601437250375748,0.104,0.1323372530937195,0.30829981261468775,0.27287766267731783,0.386,0.6407118620872497,0.076,0.08056813704967498,0.39162019702137385,0.333553669128567,0.454,0.7067893254756927,0.068,0.06607746338844299,0.46158629052972644,0.38761429815366866,0.13253900325298307,0.2218064719438553,0.2501437250375748,0.2547118620872497,0.2527893254756927
