context_len,entropy_bin,n,entropy_mean,entropy_min,entropy_max,target_entropy_mean,greedy_accept_top1_rate,seq_accept_top1_mean,greedy_gain_top1_vs_top0_mean,seq_gain_top1_vs_top0_mean,target_mass_on_draft_top1_mean,draft_top1_mass_mean,greedy_accept_top2_rate,seq_accept_top2_mean,greedy_gain_top2_vs_top1_mean,seq_gain_top2_vs_top1_mean,target_mass_on_draft_top2_mean,draft_top2_mass_mean,greedy_accept_top3_rate,seq_accept_top3_mean,greedy_gain_top3_vs_top2_mean,seq_gain_top3_vs_top2_mean,target_mass_on_draft_top3_mean,draft_top3_mass_mean,greedy_accept_top4_rate,seq_accept_top4_mean,greedy_gain_top4_vs_top3_mean,seq_gain_top4_vs_top3_mean,target_mass_on_draft_top4_mean,draft_top4_mass_mean,greedy_accept_top5_rate,seq_accept_top5_mean,greedy_gain_top5_vs_top4_mean,seq_gain_top5_vs_top4_mean,target_mass_on_draft_top5_mean,draft_top5_mass_mean,seq_minus_greedy_top1,seq_minus_greedy_top2,seq_minus_greedy_top3,seq_minus_greedy_top4,seq_minus_greedy_top5
256,0,2500,0.26771726961499154,1.9101078578387387e-05,0.6314368844032288,0.08036164400949909,0.9268,0.9242556275367737,0.9268,0.9242556275367737,0.9202961099216843,0.9613036409378052,0.9544,0.9589381716489792,0.0276,0.034682544112205504,0.9485855965408082,0.9774758746483978,0.9596,0.9663200745344162,0.0052,0.007381902885437012,0.9538538458523251,0.9815160272628486,0.9616,0.9702054235458374,0.002,0.0038853490114212036,0.9565344466028705,0.9838061928750441,0.9628,0.9737071676969529,0.0012,0.0035017441511154173,0.9594052367705075,0.9852837488831323,-0.002544372463226252,0.0045381716489791835,0.006720074534416143,0.008605423545837376,0.01090716769695288
256,1,2500,1.0286459515810014,0.6314857602119446,1.4308627843856812,0.2357743285021652,0.7576,0.7590160703659058,0.7576,0.7590160703659058,0.7375903294047397,0.8165682780027389,0.8284,0.8543855606079102,0.0708,0.09536949024200439,0.8137145717458937,0.8875945746520534,0.8588,0.8913414685487747,0.0304,0.03695590794086456,0.8415369716492367,0.9089968805687633,0.8716,0.904166191482544,0.0128,0.012824722933769225,0.8549736091071358,0.9206954563238798,0.882,0.9133189671754837,0.0104,0.009152775692939758,0.8685842233718891,0.9283114832450541,0.0014160703659057416,0.02598556060791013,0.03254146854877471,0.032566191482543916,0.03131896717548366
256,2,2500,1.8240876836299895,1.4308627843856812,2.1839447021484375,0.36098796261736354,0.5692,0.5980792988538742,0.5692,0.5980792988538742,0.5482865677577531,0.6054104540109635,0.7196,0.7633710069179535,0.1504,0.16529170806407928,0.6962062809657518,0.7374513839967549,0.7852,0.8333992193460464,0.0656,0.07002821242809296,0.7582564397584942,0.7949047499322333,0.8228,0.8689598126411437,0.0376,0.03556059329509735,0.7972203915894747,0.8296529800686054,0.8524,0.9001504996061325,0.0296,0.03119068696498871,0.8353704416229816,0.8526756019847468,0.02887929885387419,0.04377100691795344,0.04819921934604643,0.04615981264114377,0.047750499606132424
256,3,2500,2.5690758732795715,2.1839842796325684,2.937922477722168,0.5492301625137197,0.4844,0.532732834482193,0.4844,0.532732834482193,0.4476257948185352,0.462989603638649,0.622,0.7072400343179702,0.1376,0.17450719983577728,0.5853585337588437,0.5972346072807908,0.704,0.7881786375522614,0.082,0.08093860323429107,0.6652736030818299,0.6668022290778346,0.7512,0.8305901205301285,0.0472,0.04241148297786713,0.7137018878401589,0.7120130941384472,0.7804,0.8575088699817658,0.0292,0.026918749451637268,0.7475478588379452,0.7449821834512986,0.048332834482193,0.08524003431797023,0.0841786375522614,0.0793901205301285,0.0771088699817658
256,4,2500,3.2669738304138183,2.9382176399230957,3.588618755340576,0.8105155779213724,0.3768,0.46256559443473816,0.3768,0.46256559443473816,0.3398952486449969,0.3505734144955874,0.5128,0.6490583063364029,0.136,0.18649271190166472,0.47220403427529234,0.4767422309808433,0.5948,0.7450179031133651,0.082,0.09595959677696228,0.5506854319665696,0.5482034878997132,0.6412,0.7897728880167008,0.0464,0.04475498490333557,0.6000669680417086,0.5970547875523567,0.6812,0.819763855957985,0.04,0.02999096794128418,0.6405588295107455,0.6336736904840916,0.08576559443473813,0.1362583063364029,0.15021790311336514,0.14857288801670077,0.13856385595798493
256,5,2500,3.8900993162155153,3.5889649391174316,4.202292442321777,0.8930154024329251,0.328,0.4203580576896668,0.328,0.4203580576896668,0.29307043557231466,0.27978914885520934,0.454,0.5887029708385467,0.126,0.16834491314888,0.40983821421584055,0.39079752560555936,0.5396,0.6911401203393936,0.0856,0.10243714950084687,0.4858573115396084,0.45644330934565513,0.594,0.7498320819616318,0.0544,0.05869196162223816,0.5389894832571631,0.5030117691518738,0.6324,0.7875049580335617,0.0384,0.03767287607192993,0.5760898385079929,0.5382953131094574,0.09235805768966676,0.1347029708385467,0.15154012033939368,0.15583208196163179,0.15510495803356172
256,6,2500,4.512160075759888,4.202575206756592,4.831917762756348,1.062220988394319,0.2576,0.3621825595140457,0.2576,0.3621825595140457,0.22093910796835547,0.22122596880346537,0.3808,0.5342236027479171,0.1232,0.17204104323387145,0.3276876779987579,0.3151542215436697,0.4564,0.6287461956501007,0.0756,0.09452259290218354,0.39673957079711875,0.37303871434144675,0.5108,0.688995585346222,0.0544,0.06024938969612122,0.44784257020843277,0.41426367674786596,0.5472,0.7301973544359207,0.0364,0.04120176908969879,0.4824837916060632,0.44597005626559255,0.10458255951404571,0.1534236027479171,0.17234619565010073,0.17819558534622193,0.1829973544359207
256,7,2500,5.153443208694458,4.832098484039307,5.485746383666992,1.1956273863662368,0.2092,0.31888698160648343,0.2092,0.31888698160648343,0.17725514275818324,0.1572709187015891,0.3036,0.45986325862407684,0.0944,0.14097627701759338,0.25970244781128315,0.23086951556019486,0.3668,0.5487574428319931,0.0632,0.08889418420791625,0.3157767817133924,0.27900205188840627,0.4056,0.6093026062726975,0.0388,0.06054516344070435,0.35308292872163644,0.3148228212222457,0.44,0.6543704325914383,0.0344,0.045067826318740845,0.38294961108144,0.34360591307301075,0.10968698160648344,0.15626325862407686,0.1819574428319931,0.20370260627269748,0.21437043259143834
256,8,2500,5.863831931114197,5.485761642456055,6.25639533996582,1.253252137267693,0.1436,0.24637471153736115,0.1436,0.24637471153736115,0.12513835239674273,0.1071367749646306,0.2072,0.3656150136470795,0.0636,0.11924030210971832,0.18390483718945122,0.1595029790624976,0.2452,0.43683270342350006,0.038,0.0712176897764206,0.2211684850426421,0.1957034272544086,0.2796,0.4868333186388016,0.0344,0.05000061521530151,0.25004563448961364,0.2240312084564939,0.3048,0.5296667680978775,0.0252,0.042833449459075926,0.2743063429669898,0.24727071658242494,0.10277471153736115,0.1584150136470795,0.19163270342350006,0.20723331863880157,0.22486676809787748
256,9,2500,6.815901698303223,6.256399154663086,8.53474235534668,1.6525858088309295,0.058,0.14850685124397278,0.058,0.14850685124397278,0.05003252647784304,0.05255655759088695,0.096,0.2424241260766983,0.038,0.09391727483272552,0.08345947274227875,0.08198173451106995,0.122,0.3080616681575775,0.026,0.06563754208087921,0.10638490815633048,0.10366929260641336,0.1416,0.3589645583868027,0.0196,0.05090289022922516,0.12549803424904163,0.1211144030770287,0.1612,0.3993303992271423,0.0196,0.04036584084033966,0.14185090373891385,0.13598070638421922,0.09050685124397279,0.1464241260766983,0.18606166815757752,0.2173645583868027,0.2381303992271423
